Jun 12 10:40:30.490585 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4905] device (netboot): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:40:30.490813 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4907] device (netboot): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:40:30.491545 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4915] device (netboot): Activation: successful, device activated.
Jun 12 10:40:30.692109 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.6920] device (netboot): carrier: link connected
Jun 12 10:40:30.797365 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.7973] device (mgmt-bo): carrier: link connected
Jun 12 10:40:30.797711 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.7976] device (mgmt-br): carrier: link connected
Jun 12 10:40:30.798023 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.7979] device (mgmt-br.2021): carrier: link connected
Jun 12 10:40:30.798443 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.7983] device (mgmt-br.2021): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:40:30.801898 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.8018] device (mgmt-br.2021): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:40:30.802327 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.8022] device (mgmt-br.2021): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:40:30.803196 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.8031] manager: NetworkManager state is now CONNECTED_SITE
Jun 12 10:40:30.804021 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.8039] device (mgmt-br.2021): Activation: successful, device activated.
Jun 12 10:40:30.805638 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.8055] manager: startup complete
Jun 12 10:40:32.218190 hp-69-tink-system NetworkManager[2500]: <info>  [1781260832.2181] manager: NetworkManager state is now CONNECTED_GLOBAL
Jun 12 10:47:23.510656 hp-69-tink-system NetworkManager[2500]: <info>  [1781261243.5105] manager: (calico_tmp_B): new Veth device (/org/freedesktop/NetworkManager/Devices/7)
Jun 12 10:47:23.512262 hp-69-tink-system NetworkManager[2500]: <info>  [1781261243.5122] manager: (calico_tmp_A): new Veth device (/org/freedesktop/NetworkManager/Devices/8)
Jun 12 10:47:23.571834 hp-69-tink-system NetworkManager[2500]: <info>  [1781261243.5717] manager: (flannel.1): new Vxlan device (/org/freedesktop/NetworkManager/Devices/9)
Jun 12 10:47:30.836765 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.8367] manager: (cali7e0846afb31): new Veth device (/org/freedesktop/NetworkManager/Devices/10)
Jun 12 10:47:30.839210 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.8391] manager: (calif66cdf57759): new Veth device (/org/freedesktop/NetworkManager/Devices/11)
Jun 12 10:47:30.841067 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.8410] device (calif66cdf57759): carrier: link connected
Jun 12 10:47:30.841468 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.8414] device (cali7e0846afb31): carrier: link connected
Jun 12 10:47:30.904763 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9047] manager: (cali6900e4130e4): new Veth device (/org/freedesktop/NetworkManager/Devices/12)
Jun 12 10:47:30.907702 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9076] manager: (cali9b98c6be349): new Veth device (/org/freedesktop/NetworkManager/Devices/13)
Jun 12 10:47:30.908541 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9085] device (cali6900e4130e4): carrier: link connected
Jun 12 10:47:30.909227 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9092] device (cali9b98c6be349): carrier: link connected
Jun 12 10:47:30.914729 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9146] manager: (calieee271ad755): new Veth device (/org/freedesktop/NetworkManager/Devices/14)
Jun 12 10:47:30.915916 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9158] device (calieee271ad755): carrier: link connected
Jun 12 10:47:30.934384 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9343] manager: (calif38cf2d728e): new Veth device (/org/freedesktop/NetworkManager/Devices/15)
Jun 12 10:47:30.936844 hp-69-tink-system NetworkManager[2500]: <info>  [1781261250.9368] device (calif38cf2d728e): carrier: link connected
Jun 12 10:47:31.041155 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.0411] manager: (calidac997a058e): new Veth device (/org/freedesktop/NetworkManager/Devices/16)
Jun 12 10:47:31.042267 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.0422] device (calidac997a058e): carrier: link connected
Jun 12 10:47:31.054826 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.0547] manager: (calid18e31791c1): new Veth device (/org/freedesktop/NetworkManager/Devices/17)
Jun 12 10:47:31.055933 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.0558] device (calid18e31791c1): carrier: link connected
Jun 12 10:47:31.101884 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.1018] manager: (cali8de7ead4ac0): new Veth device (/org/freedesktop/NetworkManager/Devices/18)
Jun 12 10:47:31.103460 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.1034] device (cali8de7ead4ac0): carrier: link connected
Jun 12 10:47:31.105427 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.1053] manager: (calia8891140199): new Veth device (/org/freedesktop/NetworkManager/Devices/19)
Jun 12 10:47:31.106655 hp-69-tink-system NetworkManager[2500]: <info>  [1781261251.1066] device (calia8891140199): carrier: link connected
Jun 12 10:47:43.635414 hp-69-tink-system NetworkManager[2500]: <info>  [1781261263.6353] manager: (cali46ae287f662): new Veth device (/org/freedesktop/NetworkManager/Devices/20)
Jun 12 10:47:43.636424 hp-69-tink-system NetworkManager[2500]: <info>  [1781261263.6363] device (cali46ae287f662): carrier: link connected
