2026-06-12T11:21:24.950885368Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:24.951178609Z time="2026-06-12T11:21:24Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:24.951510126Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x25afe3a8f980 BondOptions:0x25afe3836180}}"
2026-06-12T11:21:24.951520406Z time="2026-06-12T11:21:24Z" level=info msg="vc hp-117-tink-system matchedNodes: [hp-117-tink-system], include this node: hp-117-tink-system"
2026-06-12T11:21:24.980058789Z time="2026-06-12T11:21:24Z" level=error msg="error syncing 'cnet-111938': handler harvester-network-cn-controller: can't run diff on an empty vidset, requeuing"
2026-06-12T11:21:24.985629361Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:24.987260888Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 will add 1 vlans, remove 0 vlans"
2026-06-12T11:21:25.199299379Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.280343648Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.281325084Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x25afe3a8f980 BondOptions:0x25afe3836180}}"
2026-06-12T11:21:25.281350286Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-117-tink-system matchedNodes: [hp-117-tink-system], include this node: hp-117-tink-system"
2026-06-12T11:21:25.378569659Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:25.381559007Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:25.383812287Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.384502651Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x25afe3a8f980 BondOptions:0x25afe3836180}}"
2026-06-12T11:21:25.384527344Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-117-tink-system matchedNodes: [hp-117-tink-system], include this node: hp-117-tink-system"
2026-06-12T11:21:25.679332683Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
