REF                                                                                                                                               TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                                                       
docker.io/rancher/appco-alertmanager:0.28.1-12.7                                                                                                  application/vnd.oci.image.manifest.v1+json                sha256:a09b4b90d053e437ad1006ed376aabd27aee77c19ebdcc249cf3bbccb2549b48 58.1 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-alertmanager@sha256:a09b4b90d053e437ad1006ed376aabd27aee77c19ebdcc249cf3bbccb2549b48                                      application/vnd.oci.image.manifest.v1+json                sha256:a09b4b90d053e437ad1006ed376aabd27aee77c19ebdcc249cf3bbccb2549b48 58.1 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-grafana:12.1.1-2.2                                                                                                        application/vnd.oci.image.manifest.v1+json                sha256:f2a02787db27f166356ab801dd47834c89079a0b215e5c1b2dae5b1824adad6d 647.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-grafana@sha256:f2a02787db27f166356ab801dd47834c89079a0b215e5c1b2dae5b1824adad6d                                           application/vnd.oci.image.manifest.v1+json                sha256:f2a02787db27f166356ab801dd47834c89079a0b215e5c1b2dae5b1824adad6d 647.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-k8s-sidecar:1.30.7-11.3                                                                                                   application/vnd.oci.image.manifest.v1+json                sha256:7c0071bc0d4720f93787330ddbdaf94ac6784c2688ddb02ddce9fa6a26e4861d 114.3 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-k8s-sidecar@sha256:7c0071bc0d4720f93787330ddbdaf94ac6784c2688ddb02ddce9fa6a26e4861d                                       application/vnd.oci.image.manifest.v1+json                sha256:7c0071bc0d4720f93787330ddbdaf94ac6784c2688ddb02ddce9fa6a26e4861d 114.3 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-kube-state-metrics:2.17.0-10.7                                                                                            application/vnd.oci.image.manifest.v1+json                sha256:5e69cfa72ac36b8b30ea504b50e783f9ec1026ecef7aa1ebdb70e37bd3beea3f 91.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-kube-state-metrics@sha256:5e69cfa72ac36b8b30ea504b50e783f9ec1026ecef7aa1ebdb70e37bd3beea3f                                application/vnd.oci.image.manifest.v1+json                sha256:5e69cfa72ac36b8b30ea504b50e783f9ec1026ecef7aa1ebdb70e37bd3beea3f 91.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-node-exporter:1.9.1-11.3                                                                                                  application/vnd.oci.image.manifest.v1+json                sha256:0ff43bb141716f218c289f82305f106f6a0397c809b0a7ac53f436834973870b 45.0 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/appco-node-exporter@sha256:0ff43bb141716f218c289f82305f106f6a0397c809b0a7ac53f436834973870b                                     application/vnd.oci.image.manifest.v1+json                sha256:0ff43bb141716f218c289f82305f106f6a0397c809b0a7ac53f436834973870b 45.0 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/cluster-api-controller:v1.12.7                                                                                                  application/vnd.oci.image.manifest.v1+json                sha256:f4dc0a29338aaf11f23187dd740cb07c9fd054500f77f1a62c64d1603fe72329 91.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/cluster-api-controller@sha256:f4dc0a29338aaf11f23187dd740cb07c9fd054500f77f1a62c64d1603fe72329                                  application/vnd.oci.image.manifest.v1+json                sha256:f4dc0a29338aaf11f23187dd740cb07c9fd054500f77f1a62c64d1603fe72329 91.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/fleet-agent:v0.15.2                                                                                                             application/vnd.oci.image.manifest.v1+json                sha256:7da8ebf3e67f586d6b57e7ebe85d4c0f77afc4cbe7843018807115a9d86cb494 77.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/fleet-agent@sha256:7da8ebf3e67f586d6b57e7ebe85d4c0f77afc4cbe7843018807115a9d86cb494                                             application/vnd.oci.image.manifest.v1+json                sha256:7da8ebf3e67f586d6b57e7ebe85d4c0f77afc4cbe7843018807115a9d86cb494 77.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/fleet:v0.15.2                                                                                                                   application/vnd.oci.image.manifest.v1+json                sha256:1d62005744dcafb2d460aeb5b478bcde3acb29cf1e5540c247dd7d91453c6b7b 294.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/fleet@sha256:1d62005744dcafb2d460aeb5b478bcde3acb29cf1e5540c247dd7d91453c6b7b                                                   application/vnd.oci.image.manifest.v1+json                sha256:1d62005744dcafb2d460aeb5b478bcde3acb29cf1e5540c247dd7d91453c6b7b 294.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-addon-resizer:1.8.23-build20260511                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:dcce8174db46fcf6a2224ef983c216d838edf4abad6e55e4cd2c8e25a0fd20ee 46.0 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-addon-resizer@sha256:dcce8174db46fcf6a2224ef983c216d838edf4abad6e55e4cd2c8e25a0fd20ee                                  application/vnd.oci.image.manifest.v1+json                sha256:dcce8174db46fcf6a2224ef983c216d838edf4abad6e55e4cd2c8e25a0fd20ee 46.0 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-calico:v3.32.0-build20260511                                                                                           application/vnd.oci.image.manifest.v1+json                sha256:7718f9c3c6821ad793e5cb6f18ff9f75181cd2f178ffad9adf0f9dae4f7b4b07 749.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-calico@sha256:7718f9c3c6821ad793e5cb6f18ff9f75181cd2f178ffad9adf0f9dae4f7b4b07                                         application/vnd.oci.image.manifest.v1+json                sha256:7718f9c3c6821ad793e5cb6f18ff9f75181cd2f178ffad9adf0f9dae4f7b4b07 749.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-cluster-autoscaler:v1.10.3-build20260511                                                                               application/vnd.oci.image.manifest.v1+json                sha256:3109f723fc4716af54783e5651245f96f624569e43a30de169e79fa198261eaf 46.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-cluster-autoscaler@sha256:3109f723fc4716af54783e5651245f96f624569e43a30de169e79fa198261eaf                             application/vnd.oci.image.manifest.v1+json                sha256:3109f723fc4716af54783e5651245f96f624569e43a30de169e79fa198261eaf 46.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-cni-plugins:v1.9.1-build20260511                                                                                       application/vnd.oci.image.manifest.v1+json                sha256:fa55bf03e9f31963d31649d9db45d35f06e8b970cafbd539e83806f48edb29c7 108.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-cni-plugins@sha256:fa55bf03e9f31963d31649d9db45d35f06e8b970cafbd539e83806f48edb29c7                                    application/vnd.oci.image.manifest.v1+json                sha256:fa55bf03e9f31963d31649d9db45d35f06e8b970cafbd539e83806f48edb29c7 108.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-coredns:v1.14.3-build20260511                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:390e0919e0c476051dd31e3e97ce7151282cd83cd658a1772b2b2dc955dea2eb 87.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-coredns@sha256:390e0919e0c476051dd31e3e97ce7151282cd83cd658a1772b2b2dc955dea2eb                                        application/vnd.oci.image.manifest.v1+json                sha256:390e0919e0c476051dd31e3e97ce7151282cd83cd658a1772b2b2dc955dea2eb 87.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-dns-node-cache:1.26.8-build20260511                                                                                    application/vnd.oci.image.manifest.v1+json                sha256:95190efdec833d2eebdd021df412e65a8bce3ce5eff090372ced1a76602821bc 63.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-dns-node-cache@sha256:95190efdec833d2eebdd021df412e65a8bce3ce5eff090372ced1a76602821bc                                 application/vnd.oci.image.manifest.v1+json                sha256:95190efdec833d2eebdd021df412e65a8bce3ce5eff090372ced1a76602821bc 63.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-etcd:v3.6.7-k3s1-build20260512                                                                                         application/vnd.oci.image.manifest.v1+json                sha256:ba99b160a098fe2e761d7cb22164ab8dc28bea13eaa5bb23e26c039e7f00222c 45.7 MiB  linux/amd64                                                                  io.cattle.rke2.pinned=pinned,io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
docker.io/rancher/hardened-etcd@sha256:ba99b160a098fe2e761d7cb22164ab8dc28bea13eaa5bb23e26c039e7f00222c                                           application/vnd.oci.image.manifest.v1+json                sha256:ba99b160a098fe2e761d7cb22164ab8dc28bea13eaa5bb23e26c039e7f00222c 45.7 MiB  linux/amd64                                                                  io.cattle.rke2.pinned=pinned,io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
