Jun 12 10:38:02.805938 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8059] device (mgmt-br): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:38:02.806831 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8068] device (mgmt-br): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:38:02.807192 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8071] device (netboot): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:38:02.812413 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8123] device (mgmt-br.2021): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:38:02.813893 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8138] device (mgmt-bo): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:38:02.814174 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8141] device (mgmt-br): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:38:02.814457 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8144] device (netboot): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:38:03.091962 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.0919] device (mgmt-bo): attached bond port netboot
Jun 12 10:38:03.091976 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.0919] device (netboot): Activation: connection 'bond-slave-netboot' attached as port, continuing activation
Jun 12 10:38:03.125087 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1250] policy: set 'vlan-mgmt' (mgmt-br.2021) as default for IPv4 routing and DNS
Jun 12 10:38:03.126015 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1259] device (mgmt-bo): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:38:03.128295 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1282] device (mgmt-br): attached bridge port mgmt-bo
Jun 12 10:38:03.128309 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1283] device (mgmt-bo): Activation: connection 'bond-mgmt' attached as port, continuing activation
Jun 12 10:38:03.128701 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1286] device (mgmt-br.2021): set-hw-addr: set MAC address to 5C:B9:01:88:D0:44 (vlan-parent)
Jun 12 10:38:03.131685 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1316] device (mgmt-br): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:38:03.147064 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1470] device (mgmt-bo): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:38:03.149217 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1491] device (netboot): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:38:03.149666 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1496] device (mgmt-br): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:38:03.149804 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1497] device (mgmt-bo): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:38:03.149989 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1499] device (mgmt-br): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:38:03.150489 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1504] device (mgmt-br): Activation: successful, device activated.
Jun 12 10:38:03.150946 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1509] device (mgmt-bo): state change: secondaries -> activated (reason 'none', managed-type: 'full')
