2026-06-12T11:21:24.996658860Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:24.997408630Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 will add 1 vlans, remove 0 vlans"
2026-06-12T11:21:25.002686130Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.172849026Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc18e3650 BondOptions:0x371dc315abe8}}"
2026-06-12T11:21:25.172874744Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-150-tink-system matchedNodes: [hp-150-tink-system], include this node: hp-150-tink-system"
2026-06-12T11:21:25.190123406Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:25.191080145Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:25.196851762Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.235293664Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc18e3650 BondOptions:0x371dc315abe8}}"
2026-06-12T11:21:25.235307455Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-150-tink-system matchedNodes: [hp-150-tink-system], include this node: hp-150-tink-system"
