2026-06-12T11:21:40.819354995Z time="2026-06-12T11:21:40Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:40.854083302Z time="2026-06-12T11:21:40Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:40.855880962Z time="2026-06-12T11:21:40Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 1 vlans"
2026-06-12T11:21:40.861548348Z time="2026-06-12T11:21:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:41.776110511Z time="2026-06-12T11:21:41Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:41.777935883Z time="2026-06-12T11:21:41Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.081172366Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-69-tink-system has been removed"
2026-06-12T11:21:48.081739734Z time="2026-06-12T11:21:48Z" level=info msg="start to tear down VLAN network"
2026-06-12T11:21:48.081772589Z time="2026-06-12T11:21:48Z" level=info msg="cnet-111938-bo set no master"
2026-06-12T11:21:48.088510725Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.088608943Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.095581237Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.180218586Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-150-tink-system has been removed"
2026-06-12T11:21:48.290093542Z time="2026-06-12T11:21:48Z" level=info msg="Setting NIC eno50 to UP state (current: down)"
2026-06-12T11:21:48.659546976Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.672126624Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:48.672147571Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.672524732Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:48.673301042Z time="2026-06-12T11:21:48Z" level=error msg="error syncing 'cnet-111938': handler harvester-network-link-monitor-controller: synchronize links to link monitor cnet-111938 failed, error: results may be incomplete or inconsistent, requeuing"
2026-06-12T11:21:48.673316680Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
