Jun 12 10:36:02.263060 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2630] device (netboot): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.544030 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5440] device (mgmt-bo): attached bond port netboot
Jun 12 10:36:02.544044 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5440] device (netboot): Activation: connection 'bond-slave-netboot' attached as port, continuing activation
Jun 12 10:36:02.565406 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5653] policy: set 'vlan-mgmt' (mgmt-br.2021) as default for IPv4 routing and DNS
Jun 12 10:36:02.566293 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5662] device (mgmt-bo): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.568185 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5681] device (mgmt-br): attached bridge port mgmt-bo
Jun 12 10:36:02.568197 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5681] device (mgmt-bo): Activation: connection 'bond-mgmt' attached as port, continuing activation
Jun 12 10:36:02.568527 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5685] device (mgmt-br.2021): set-hw-addr: set MAC address to 5C:B9:01:89:C2:AC (vlan-parent)
Jun 12 10:36:02.570468 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5704] device (mgmt-br): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:36:02.585209 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5851] device (mgmt-bo): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:36:02.587113 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5870] device (netboot): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:36:02.587542 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5875] device (mgmt-br): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:36:02.587670 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5876] device (mgmt-bo): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:36:02.587853 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5878] device (mgmt-br): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:36:02.588372 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5883] device (mgmt-br): Activation: successful, device activated.
Jun 12 10:36:02.588728 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5887] device (mgmt-bo): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:36:02.589284 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5892] device (mgmt-bo): Activation: successful, device activated.
Jun 12 10:36:02.589800 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5897] device (netboot): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:36:02.589980 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5899] device (netboot): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:36:02.590456 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.5904] device (netboot): Activation: successful, device activated.
Jun 12 10:36:02.854790 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.8547] device (netboot): carrier: link connected
Jun 12 10:36:02.904325 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9042] device (mgmt-bo): carrier: link connected
Jun 12 10:36:02.904457 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9044] device (mgmt-br): carrier: link connected
Jun 12 10:36:02.904562 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9045] device (mgmt-br.2021): carrier: link connected
Jun 12 10:36:02.904678 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9046] device (mgmt-br.2021): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:36:02.906062 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9060] device (mgmt-br.2021): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:36:02.906205 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9061] device (mgmt-br.2021): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:36:02.906497 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9064] manager: NetworkManager state is now CONNECTED_SITE
Jun 12 10:36:02.906713 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9067] device (mgmt-br.2021): Activation: successful, device activated.
Jun 12 10:36:02.907226 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.9072] manager: startup complete
Jun 12 10:36:04.313019 hp-150-tink-system NetworkManager[2120]: <info>  [1781260564.3129] manager: NetworkManager state is now CONNECTED_GLOBAL
Jun 12 10:47:19.709195 hp-150-tink-system NetworkManager[2120]: <info>  [1781261239.7091] manager: (calico_tmp_B): new Veth device (/org/freedesktop/NetworkManager/Devices/7)
Jun 12 10:47:19.710180 hp-150-tink-system NetworkManager[2120]: <info>  [1781261239.7101] manager: (calico_tmp_A): new Veth device (/org/freedesktop/NetworkManager/Devices/8)
Jun 12 10:47:19.762706 hp-150-tink-system NetworkManager[2120]: <info>  [1781261239.7626] manager: (flannel.1): new Vxlan device (/org/freedesktop/NetworkManager/Devices/9)
Jun 12 10:47:29.011750 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.0117] manager: (cali72e4145653d): new Veth device (/org/freedesktop/NetworkManager/Devices/10)
Jun 12 10:47:29.012285 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.0122] device (cali72e4145653d): carrier: link connected
Jun 12 10:47:29.031918 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.0318] manager: (calid32254d81ea): new Veth device (/org/freedesktop/NetworkManager/Devices/11)
Jun 12 10:47:29.033047 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.0330] device (calid32254d81ea): carrier: link connected
Jun 12 10:47:29.049157 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.0491] manager: (calib1d34d88877): new Veth device (/org/freedesktop/NetworkManager/Devices/12)
Jun 12 10:47:29.049650 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.0496] device (calib1d34d88877): carrier: link connected
Jun 12 10:47:29.114548 hp-150-tink-system NetworkManager[2120]: <info>  [1781261249.1145] manager: (cali1d5d8acb085): new Veth device (/org/freedesktop/NetworkManager/Devices/13)
