2026-06-12T10:47:12.511758422Z I0612 10:47:12.511408       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.511770684Z I0612 10:47:12.511449       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.511775641Z E0612 10:47:12.511462       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.516822157Z I0612 10:47:12.516715       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.516849746Z I0612 10:47:12.516787       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.516895618Z E0612 10:47:12.516808       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.527554867Z I0612 10:47:12.527362       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.527616311Z I0612 10:47:12.527447       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.527621585Z E0612 10:47:12.527467       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.536152663Z I0612 10:47:12.535848       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.536175331Z I0612 10:47:12.535904       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.536178944Z E0612 10:47:12.535923       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.547900334Z I0612 10:47:12.547790       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.547944578Z I0612 10:47:12.547880       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.547950767Z E0612 10:47:12.547900       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.578755445Z I0612 10:47:12.576926       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.578868460Z I0612 10:47:12.577046       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.578872987Z E0612 10:47:12.577069       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.618603974Z I0612 10:47:12.618393       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.620521287Z I0612 10:47:12.620424       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.620692094Z E0612 10:47:12.620542       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.628242346Z I0612 10:47:12.628152       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.628270316Z I0612 10:47:12.628243       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.628319058Z E0612 10:47:12.628265       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
